Date,Symbol,Open,High,Low,Close,Adj Close,Volume
08/10/2018,BABA,150.199997,152.636002,148.339996,151.139999,151.139999,25060400
09/10/2018,BABA,147.970001,150.589996,146.470001,146.940002,146.940002,31070200
10/10/2018,BABA,142.5,144,137.919998,138.289993,138.289993,55828800
11/10/2018,BABA,135.529999,142.910004,135.139999,141.899994,141.899994,43210300
12/10/2018,BABA,148.619995,149,144.520004,147.289993,147.289993,30764400
15/10/2018,BABA,144.770004,145.690002,142.300003,144.160004,144.160004,18567100
16/10/2018,BABA,145.710007,149.759995,145.259995,149.600006,149.600006,18365900
17/10/2018,BABA,150.679993,150.679993,146.369995,148.139999,148.139999,16872400
18/10/2018,BABA,145.850006,146.279999,140.800003,142.020004,142.020004,20618900
19/10/2018,BABA,145.339996,146.770004,142.610001,142.929993,142.929993,14855100
22/10/2018,BABA,148.990005,150.199997,146.100006,148.800003,148.800003,22589300
23/10/2018,BABA,143.220001,147.509995,142.619995,146.649994,146.649994,19950500
24/10/2018,BABA,145.179993,146.690002,139.339996,139.610001,139.610001,18512300
25/10/2018,BABA,142.5,144.910004,141.009995,144.600006,144.600006,13655100
26/10/2018,BABA,139,145.828995,138.550003,142.869995,142.869995,19476900
29/10/2018,BABA,142.419998,144,131.360001,133.380005,133.380005,35121700
30/10/2018,BABA,132.279999,136.399994,130.059998,136.330002,136.330002,25230000
31/10/2018,BABA,141.350006,142.649994,139.139999,142.279999,142.279999,23654600
01/11/2018,BABA,144.979996,152.317993,138.619995,151.25,151.25,47039300
02/11/2018,BABA,152.559998,154.360001,146.279999,147.589996,147.589996,45985800
05/11/2018,BABA,146.220001,149.369995,144.229996,144.639999,144.639999,16197300
06/11/2018,BABA,145.869995,149.960007,145.324997,147.440002,147.440002,17849800
07/11/2018,BABA,150.770004,152.800003,148.940002,152.5,152.5,17884400
08/11/2018,BABA,150.990005,151.880005,146.690002,148.990005,148.990005,17067100
09/11/2018,BABA,145.570007,145.720001,142.479996,144.850006,144.850006,16220000
12/11/2018,BABA,145.009995,146.406006,139.970001,142.820007,142.820007,16516500
13/11/2018,BABA,144.830002,149.940002,143.910004,146.979996,146.979996,19575100
14/11/2018,BABA,150.210007,152.149994,148.440002,150.440002,150.440002,21786000
15/11/2018,BABA,152.899994,157.399994,150.889999,156.220001,156.220001,30083500
16/11/2018,BABA,155.039993,155.800003,152.141998,154.100006,154.100006,20039400
19/11/2018,BABA,152.020004,153.210007,148.770004,149.529999,149.529999,18087800
20/11/2018,BABA,144.479996,148.070007,142.820007,145.979996,145.979996,19473200
21/11/2018,BABA,149.059998,151.479996,148.649994,149.410004,149.410004,14718600
23/11/2018,BABA,147.300003,151.169998,147,150.330002,150.330002,7437500
26/11/2018,BABA,153.210007,156.529999,152.369995,156.009995,156.009995,16152700
27/11/2018,BABA,154.639999,157.940002,153.580002,156.460007,156.460007,17911800
28/11/2018,BABA,159.009995,159.800003,155.259995,159.339996,159.339996,20767100
29/11/2018,BABA,158.080002,159,153.539993,156.279999,156.279999,20532200
30/11/2018,BABA,157.899994,160.860001,156.720001,160.860001,160.860001,35071200
03/12/2018,BABA,168.639999,168.800003,163.509995,163.740005,163.740005,31174000
04/12/2018,BABA,164.880005,164.979996,156.460007,158.339996,158.339996,22198600
06/12/2018,BABA,153,155.869995,150.509995,155.830002,155.830002,25335500
07/12/2018,BABA,155.399994,158.050003,151.729996,153.059998,153.059998,17447900
10/12/2018,BABA,150.389999,152.809998,147.479996,151.429993,151.429993,15525500
11/12/2018,BABA,155.259995,156.240005,150.899994,151.830002,151.830002,13651900
12/12/2018,BABA,155.240005,156.169998,151.429993,151.5,151.5,16619200
13/12/2018,BABA,153.050003,153.460007,150.520004,151.479996,151.479996,12255800
14/12/2018,BABA,147.710007,150.699997,145.720001,149,149,15560700
17/12/2018,BABA,146.5,147.940002,142.240005,143.979996,143.979996,15788100
18/12/2018,BABA,144.279999,144.75,140.110001,140.820007,140.820007,17846600
19/12/2018,BABA,141.039993,141.324997,135.729996,137.139999,137.139999,27657800
20/12/2018,BABA,135.830002,137.755005,132.910004,135.110001,135.110001,24103800
21/12/2018,BABA,137.080002,137.190002,130.229996,132,132,28790600
24/12/2018,BABA,130,134.570007,129.770004,131.889999,131.889999,11240700
26/12/2018,BABA,132.869995,138.020004,130.179993,138,138,14862400
27/12/2018,BABA,135.050003,138.449997,133.889999,138.449997,138.449997,11457400
28/12/2018,BABA,139.199997,140.979996,136.789993,139.089996,139.089996,11955300
31/12/2018,BABA,141.830002,142.020004,136.039993,137.070007,137.070007,11186400
02/01/2019,BABA,134.130005,137.748993,133.029999,136.699997,136.699997,16708400
03/01/2019,BABA,134.270004,134.869995,129.830002,130.600006,130.600006,19531300
04/01/2019,BABA,134.259995,141.080002,133.660004,139.75,139.75,22845400
07/01/2019,BABA,140.550003,144.080002,139.009995,143.100006,143.100006,17239000
08/01/2019,BABA,145,147.550003,142.059998,146.789993,146.789993,16487600
09/01/2019,BABA,149.889999,153.350006,148.5,151.919998,151.919998,20214100
